region,category,parameter,mode,powertrain,year,unit,value
Florida,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Charging Point,35181.32
New York,Passenger Vehicles,EV Sales,Vans,BEV,2019,Percent,35066.88
Georgia,Commercial Vehicles,EV Stock,Vans,PHEV,2020,Vehicles,24213.05
Illinois,Passenger Vehicles,EV Stock,Bikes,PHEV,2022,Vehicles,1031.17
Illinois,Passenger Vehicles,EV Sales,Buses,BEV,2018,Percent,36522.91
Arizona,Commercial Vehicles,EV Stock,Bikes,BEV,2019,Charging Point,46832.36
Florida,Passenger Vehicles,EV Sales,Buses,PHEV,2020,Charging Point,7953.58
Florida,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Charging Point,3488.92
Colorado,Passenger Vehicles,EV Stock,Bikes,BEV,2018,Percent,13333.74
Nevada,Commercial Vehicles,EV Sales,Cars,PHEV,2023,Percent,42504.71
Florida,Commercial Vehicles,EV Sales,Bikes,BEV,2023,Vehicles,5396.74
Texas,Passenger Vehicles,EV Stock,Cars,BEV,2020,Percent,35786.9
Nevada,Commercial Vehicles,EV Sales,Buses,PHEV,2024,Charging Point,3241.08
Texas,Passenger Vehicles,EV Sales,Bikes,BEV,2024,Percent,1736.17
Illinois,Commercial Vehicles,EV Sales,Buses,PHEV,2019,Percent,44575.96
Nevada,Commercial Vehicles,EV Stock,Cars,BEV,2024,Charging Point,38550.96
Florida,Commercial Vehicles,EV Sales,Buses,BEV,2023,Charging Point,29969.39
New York,Passenger Vehicles,EV Stock,Bikes,BEV,2022,Percent,8682.56
Arizona,Commercial Vehicles,EV Stock,Cars,BEV,2019,Percent,14014.55
Texas,Commercial Vehicles,EV Sales,Cars,BEV,2023,Charging Point,2525.36
Nevada,Commercial Vehicles,EV Stock,Buses,BEV,2022,Charging Point,32303.61
Florida,Passenger Vehicles,EV Stock,Buses,PHEV,2020,Percent,34335.68
Nevada,Passenger Vehicles,EV Stock,Cars,PHEV,2020,Percent,16407.76
Florida,Passenger Vehicles,EV Stock,Buses,BEV,2019,Vehicles,16986.97
Florida,Passenger Vehicles,EV Stock,Vans,PHEV,2019,Charging Point,31485.98
Florida,Commercial Vehicles,EV Stock,Cars,PHEV,2022,Percent,47288.67
Colorado,Passenger Vehicles,EV Stock,Cars,PHEV,2024,Charging Point,19796
Arizona,Passenger Vehicles,EV Sales,Vans,PHEV,2018,Charging Point,24730.16
New York,Passenger Vehicles,EV Sales,Bikes,PHEV,2019,Charging Point,34943.97
New York,Passenger Vehicles,EV Stock,Bikes,BEV,2023,Charging Point,17181.82
Nevada,Commercial Vehicles,EV Sales,Bikes,BEV,2018,Percent,43456.03
Nevada,Passenger Vehicles,EV Stock,Bikes,BEV,2018,Vehicles,42324.46
Florida,Passenger Vehicles,EV Sales,Vans,BEV,2024,Vehicles,33746.72
Colorado,Passenger Vehicles,EV Stock,Vans,BEV,2018,Percent,26892.49
Florida,Passenger Vehicles,EV Sales,Buses,PHEV,2020,Vehicles,49177.69
Colorado,Commercial Vehicles,EV Stock,Vans,PHEV,2020,Charging Point,35148.79
Florida,Passenger Vehicles,EV Sales,Vans,BEV,2018,Percent,32197.01
Texas,Passenger Vehicles,EV Sales,Bikes,BEV,2018,Percent,43853.22
Texas,Commercial Vehicles,EV Sales,Bikes,PHEV,2020,Percent,27794.03
Illinois,Commercial Vehicles,EV Stock,Buses,BEV,2022,Charging Point,12221.89
Florida,Passenger Vehicles,EV Stock,Vans,BEV,2024,Charging Point,6974.84
Arizona,Commercial Vehicles,EV Sales,Cars,PHEV,2024,Charging Point,23604.5
Illinois,Commercial Vehicles,EV Sales,Bikes,BEV,2023,Percent,25831.14
Nevada,Passenger Vehicles,EV Stock,Bikes,BEV,2024,Charging Point,41401.94
Georgia,Commercial Vehicles,EV Stock,Vans,BEV,2021,Percent,7059.78
Florida,Passenger Vehicles,EV Stock,Vans,BEV,2019,Charging Point,34093.39
Texas,Passenger Vehicles,EV Sales,Buses,BEV,2018,Charging Point,15275.93
Georgia,Commercial Vehicles,EV Stock,Buses,PHEV,2020,Charging Point,46957.61
Colorado,Passenger Vehicles,EV Stock,Vans,BEV,2024,Charging Point,23574.03
Georgia,Commercial Vehicles,EV Stock,Vans,BEV,2018,Vehicles,31157.67
Arizona,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Charging Point,32540.4
Florida,Commercial Vehicles,EV Sales,Buses,BEV,2018,Vehicles,4641.15
New York,Commercial Vehicles,EV Stock,Cars,BEV,2024,Percent,42624.53
Georgia,Commercial Vehicles,EV Stock,Cars,PHEV,2018,Percent,8295.4
New York,Commercial Vehicles,EV Sales,Vans,PHEV,2022,Vehicles,19931.21
Colorado,Commercial Vehicles,EV Sales,Vans,PHEV,2019,Percent,33660.93
Illinois,Commercial Vehicles,EV Stock,Vans,PHEV,2019,Charging Point,2855.47
New York,Passenger Vehicles,EV Stock,Cars,PHEV,2020,Vehicles,29063.15
Illinois,Commercial Vehicles,EV Stock,Cars,BEV,2022,Vehicles,20554.82
Texas,Commercial Vehicles,EV Sales,Buses,PHEV,2022,Percent,3286.25
Florida,Passenger Vehicles,EV Sales,Buses,PHEV,2019,Percent,36346.92
Georgia,Commercial Vehicles,EV Stock,Bikes,PHEV,2020,Vehicles,25116.54
Texas,Commercial Vehicles,EV Sales,Buses,PHEV,2022,Percent,15241.66
Texas,Commercial Vehicles,EV Sales,Bikes,BEV,2020,Vehicles,4307.96
Washington,Passenger Vehicles,EV Sales,Buses,PHEV,2019,Vehicles,27418.96
California,Commercial Vehicles,EV Stock,Bikes,BEV,2018,Vehicles,15367.54
Arizona,Passenger Vehicles,EV Sales,Buses,BEV,2023,Charging Point,47339.54
Illinois,Passenger Vehicles,EV Stock,Buses,PHEV,2023,Charging Point,29616.66
Washington,Commercial Vehicles,EV Stock,Cars,BEV,2023,Percent,14324.75
California,Passenger Vehicles,EV Sales,Vans,BEV,2022,Vehicles,26478.04
Arizona,Passenger Vehicles,EV Stock,Buses,BEV,2020,Percent,27020.82
Illinois,Commercial Vehicles,EV Stock,Cars,PHEV,2018,Charging Point,36365.4
Florida,Commercial Vehicles,EV Stock,Cars,PHEV,2019,Percent,45119.9
Arizona,Commercial Vehicles,EV Sales,Vans,BEV,2024,Vehicles,48133.42
Georgia,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Vehicles,35922.75
Texas,Commercial Vehicles,EV Stock,Bikes,PHEV,2023,Charging Point,27341.07
California,Commercial Vehicles,EV Sales,Bikes,PHEV,2022,Vehicles,11324.11
California,Commercial Vehicles,EV Stock,Vans,BEV,2024,Percent,20211.17
California,Commercial Vehicles,EV Sales,Vans,PHEV,2022,Vehicles,24490.57
Illinois,Passenger Vehicles,EV Sales,Vans,PHEV,2020,Charging Point,6505.72
Georgia,Passenger Vehicles,EV Sales,Buses,BEV,2019,Vehicles,12894.55
Arizona,Commercial Vehicles,EV Stock,Buses,PHEV,2023,Charging Point,49224.19
Texas,Passenger Vehicles,EV Stock,Buses,BEV,2019,Vehicles,37858.83
Georgia,Commercial Vehicles,EV Stock,Cars,PHEV,2022,Charging Point,24152.13
Washington,Commercial Vehicles,EV Sales,Bikes,PHEV,2022,Charging Point,11379.02
Florida,Passenger Vehicles,EV Stock,Cars,PHEV,2023,Vehicles,28715.04
New York,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Percent,11670.57
Georgia,Passenger Vehicles,EV Sales,Buses,BEV,2020,Charging Point,9736.13
Washington,Passenger Vehicles,EV Stock,Vans,PHEV,2020,Vehicles,4778.44
Texas,Commercial Vehicles,EV Sales,Vans,BEV,2021,Percent,17358.07
New York,Commercial Vehicles,EV Sales,Cars,BEV,2018,Percent,27131.99
New York,Passenger Vehicles,EV Sales,Vans,PHEV,2020,Percent,8050.45
Georgia,Commercial Vehicles,EV Stock,Cars,PHEV,2018,Percent,10101.73
California,Commercial Vehicles,EV Sales,Vans,PHEV,2022,Charging Point,19617.85
Nevada,Commercial Vehicles,EV Sales,Buses,PHEV,2021,Charging Point,24527.63
Texas,Passenger Vehicles,EV Stock,Cars,PHEV,2021,Charging Point,38137.93
California,Passenger Vehicles,EV Sales,Bikes,PHEV,2024,Percent,28374.75
Texas,Commercial Vehicles,EV Stock,Cars,PHEV,2024,Charging Point,30923.28
Nevada,Passenger Vehicles,EV Stock,Vans,PHEV,2024,Vehicles,34840.9
Florida,Commercial Vehicles,EV Sales,Buses,PHEV,2021,Percent,22604.05
Nevada,Passenger Vehicles,EV Sales,Buses,BEV,2019,Vehicles,17222.35
Colorado,Commercial Vehicles,EV Sales,Bikes,PHEV,2023,Percent,40040.99
Georgia,Commercial Vehicles,EV Sales,Buses,PHEV,2024,Vehicles,41433.19
Georgia,Passenger Vehicles,EV Sales,Buses,BEV,2023,Vehicles,7783.71
Washington,Commercial Vehicles,EV Stock,Cars,PHEV,2022,Vehicles,47673.14
California,Passenger Vehicles,EV Sales,Buses,PHEV,2019,Charging Point,46503.14
Washington,Passenger Vehicles,EV Sales,Vans,BEV,2019,Charging Point,43556.8
Colorado,Commercial Vehicles,EV Stock,Bikes,PHEV,2021,Percent,21190.66
Nevada,Passenger Vehicles,EV Sales,Bikes,BEV,2019,Charging Point,42124.7
Georgia,Passenger Vehicles,EV Stock,Cars,PHEV,2022,Charging Point,31440.12
Illinois,Commercial Vehicles,EV Sales,Vans,PHEV,2022,Charging Point,10349.2
Nevada,Passenger Vehicles,EV Sales,Buses,PHEV,2024,Percent,38766.66
Nevada,Commercial Vehicles,EV Sales,Cars,BEV,2019,Percent,20364.14
Colorado,Passenger Vehicles,EV Sales,Vans,BEV,2023,Charging Point,14679.01
Florida,Commercial Vehicles,EV Stock,Buses,BEV,2022,Percent,43926.78
Texas,Passenger Vehicles,EV Stock,Cars,BEV,2023,Percent,43127.64
Colorado,Commercial Vehicles,EV Sales,Bikes,PHEV,2018,Percent,43232.22
Texas,Commercial Vehicles,EV Stock,Buses,BEV,2019,Charging Point,42990.23
Georgia,Commercial Vehicles,EV Stock,Bikes,PHEV,2021,Charging Point,27756.03
Colorado,Passenger Vehicles,EV Stock,Buses,PHEV,2024,Vehicles,30884.32
Texas,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Vehicles,47448.39
Washington,Passenger Vehicles,EV Stock,Bikes,PHEV,2022,Vehicles,6554.12
Colorado,Passenger Vehicles,EV Sales,Buses,PHEV,2022,Percent,40332.44
Georgia,Passenger Vehicles,EV Stock,Vans,BEV,2021,Vehicles,26360.76
Colorado,Passenger Vehicles,EV Sales,Buses,PHEV,2018,Vehicles,48922.54
Georgia,Passenger Vehicles,EV Sales,Cars,PHEV,2021,Percent,31997.26
Colorado,Passenger Vehicles,EV Sales,Vans,BEV,2019,Percent,8210.96
Texas,Passenger Vehicles,EV Stock,Buses,PHEV,2021,Charging Point,40793
Florida,Commercial Vehicles,EV Stock,Cars,BEV,2020,Vehicles,33666.31
Arizona,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Charging Point,7531.5
Texas,Commercial Vehicles,EV Stock,Vans,BEV,2024,Percent,548.71
California,Commercial Vehicles,EV Stock,Vans,PHEV,2018,Vehicles,27228
New York,Commercial Vehicles,EV Stock,Vans,PHEV,2021,Vehicles,12150.31
Florida,Passenger Vehicles,EV Stock,Bikes,BEV,2020,Vehicles,43375.35
Washington,Passenger Vehicles,EV Sales,Bikes,PHEV,2019,Charging Point,12621.4
Nevada,Commercial Vehicles,EV Sales,Vans,PHEV,2021,Vehicles,33176.52
Texas,Commercial Vehicles,EV Stock,Buses,BEV,2019,Charging Point,17321.99
Colorado,Passenger Vehicles,EV Sales,Bikes,BEV,2020,Charging Point,17580.87
Texas,Passenger Vehicles,EV Sales,Vans,PHEV,2024,Percent,9172.56
Illinois,Commercial Vehicles,EV Stock,Vans,BEV,2021,Vehicles,25185.81
Florida,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Charging Point,29005.66
Arizona,Passenger Vehicles,EV Sales,Bikes,BEV,2019,Vehicles,29092.58
Washington,Passenger Vehicles,EV Stock,Vans,BEV,2021,Vehicles,42844.85
Illinois,Commercial Vehicles,EV Stock,Cars,BEV,2020,Percent,32652.13
Georgia,Passenger Vehicles,EV Stock,Buses,PHEV,2021,Charging Point,37037.87
Illinois,Commercial Vehicles,EV Stock,Cars,PHEV,2024,Charging Point,16240.06
Texas,Commercial Vehicles,EV Stock,Bikes,PHEV,2024,Percent,21092.21
Washington,Commercial Vehicles,EV Stock,Bikes,BEV,2022,Charging Point,1012.8
Texas,Passenger Vehicles,EV Sales,Buses,PHEV,2020,Charging Point,4047.56
Georgia,Passenger Vehicles,EV Stock,Cars,PHEV,2018,Charging Point,19317.47
Nevada,Commercial Vehicles,EV Sales,Cars,BEV,2019,Percent,10565.71
Washington,Passenger Vehicles,EV Stock,Vans,BEV,2023,Charging Point,40666.67
Nevada,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Vehicles,33856.68
Florida,Commercial Vehicles,EV Stock,Bikes,PHEV,2020,Percent,48518.24
Florida,Commercial Vehicles,EV Stock,Bikes,PHEV,2023,Percent,44362.99
Nevada,Commercial Vehicles,EV Stock,Buses,PHEV,2018,Percent,48885.29
Florida,Passenger Vehicles,EV Stock,Bikes,PHEV,2018,Charging Point,18327.23
Washington,Commercial Vehicles,EV Stock,Cars,BEV,2020,Percent,24270.38
Colorado,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Charging Point,18694.02
California,Passenger Vehicles,EV Stock,Vans,PHEV,2018,Vehicles,48218.86
Florida,Passenger Vehicles,EV Sales,Vans,PHEV,2023,Percent,20195.16
Florida,Commercial Vehicles,EV Stock,Bikes,BEV,2022,Percent,5926.42
Texas,Commercial Vehicles,EV Stock,Buses,BEV,2021,Percent,12600.44
Nevada,Commercial Vehicles,EV Stock,Vans,PHEV,2023,Vehicles,21298.53
New York,Commercial Vehicles,EV Stock,Bikes,PHEV,2023,Charging Point,30189.4
Arizona,Passenger Vehicles,EV Stock,Bikes,PHEV,2022,Percent,30942.52
Illinois,Passenger Vehicles,EV Stock,Cars,PHEV,2021,Vehicles,37963.3
Florida,Commercial Vehicles,EV Sales,Buses,BEV,2018,Charging Point,32428.55
Illinois,Commercial Vehicles,EV Sales,Vans,PHEV,2021,Percent,24627.55
Washington,Passenger Vehicles,EV Sales,Cars,PHEV,2024,Charging Point,1605.56
New York,Passenger Vehicles,EV Stock,Vans,PHEV,2024,Percent,34781.92
Arizona,Commercial Vehicles,EV Stock,Bikes,BEV,2022,Vehicles,4364.36
Nevada,Passenger Vehicles,EV Stock,Vans,BEV,2019,Charging Point,23493.69
California,Commercial Vehicles,EV Stock,Buses,BEV,2019,Vehicles,44830.17
Arizona,Passenger Vehicles,EV Stock,Buses,BEV,2021,Percent,29884.26
Arizona,Passenger Vehicles,EV Stock,Buses,BEV,2024,Vehicles,10028.34
California,Commercial Vehicles,EV Stock,Cars,PHEV,2019,Charging Point,40417.11
Colorado,Commercial Vehicles,EV Stock,Vans,BEV,2020,Charging Point,15090.42
Nevada,Commercial Vehicles,EV Stock,Buses,PHEV,2019,Percent,28905.81
Texas,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Charging Point,31828.86
Illinois,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Percent,36582.96
Florida,Passenger Vehicles,EV Sales,Cars,BEV,2022,Vehicles,3342.63
Arizona,Commercial Vehicles,EV Sales,Vans,BEV,2019,Vehicles,42727.93
Washington,Commercial Vehicles,EV Sales,Buses,BEV,2021,Vehicles,5781.13
California,Passenger Vehicles,EV Sales,Vans,PHEV,2024,Percent,4817.24
Illinois,Commercial Vehicles,EV Stock,Cars,PHEV,2022,Vehicles,22898.54
New York,Commercial Vehicles,EV Sales,Vans,BEV,2020,Percent,18671.86
California,Passenger Vehicles,EV Stock,Buses,BEV,2018,Vehicles,2825.22
New York,Passenger Vehicles,EV Sales,Bikes,BEV,2023,Vehicles,8383.43
Nevada,Passenger Vehicles,EV Sales,Cars,PHEV,2022,Charging Point,22016.75
Arizona,Passenger Vehicles,EV Sales,Vans,PHEV,2023,Vehicles,41470.7
Washington,Commercial Vehicles,EV Sales,Buses,BEV,2024,Vehicles,6153.09
Florida,Passenger Vehicles,EV Sales,Buses,PHEV,2022,Percent,5316.07
New York,Passenger Vehicles,EV Stock,Buses,PHEV,2021,Charging Point,40260.99
Illinois,Passenger Vehicles,EV Sales,Buses,BEV,2020,Percent,24666.54
Colorado,Commercial Vehicles,EV Sales,Cars,PHEV,2024,Vehicles,18076.44
Nevada,Passenger Vehicles,EV Sales,Cars,PHEV,2019,Vehicles,23121.55
Colorado,Commercial Vehicles,EV Stock,Bikes,PHEV,2020,Charging Point,20601.25
Nevada,Passenger Vehicles,EV Stock,Vans,BEV,2018,Vehicles,39116.52
Texas,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Percent,565.44
Illinois,Passenger Vehicles,EV Stock,Buses,PHEV,2019,Percent,21714.61
Colorado,Commercial Vehicles,EV Sales,Cars,BEV,2023,Charging Point,8026.85
Washington,Passenger Vehicles,EV Stock,Bikes,BEV,2020,Vehicles,15483.46
Arizona,Passenger Vehicles,EV Stock,Vans,PHEV,2018,Charging Point,5697.34
California,Commercial Vehicles,EV Stock,Vans,PHEV,2022,Vehicles,21406.71
Florida,Commercial Vehicles,EV Stock,Cars,PHEV,2022,Vehicles,32200.43
Arizona,Commercial Vehicles,EV Stock,Cars,BEV,2023,Vehicles,33113.5
Arizona,Passenger Vehicles,EV Sales,Cars,BEV,2023,Percent,39857.51
Nevada,Commercial Vehicles,EV Sales,Bikes,PHEV,2022,Charging Point,40769.07
Washington,Passenger Vehicles,EV Sales,Cars,BEV,2024,Percent,29926.9
Nevada,Passenger Vehicles,EV Sales,Bikes,BEV,2023,Percent,17722.18
Georgia,Passenger Vehicles,EV Stock,Cars,BEV,2022,Percent,2660.64
New York,Commercial Vehicles,EV Stock,Cars,BEV,2024,Charging Point,1889.91
Florida,Passenger Vehicles,EV Stock,Bikes,BEV,2023,Percent,5751.83
New York,Passenger Vehicles,EV Sales,Vans,BEV,2019,Percent,49193.19
California,Commercial Vehicles,EV Stock,Cars,PHEV,2023,Vehicles,39320.27
Georgia,Commercial Vehicles,EV Sales,Cars,PHEV,2022,Vehicles,20303.13
Illinois,Commercial Vehicles,EV Sales,Bikes,PHEV,2019,Percent,23363.44
California,Commercial Vehicles,EV Stock,Vans,BEV,2019,Charging Point,36895.33
California,Commercial Vehicles,EV Sales,Vans,PHEV,2020,Percent,25768.59
Texas,Passenger Vehicles,EV Sales,Bikes,PHEV,2022,Charging Point,18084.77
Florida,Commercial Vehicles,EV Sales,Buses,BEV,2024,Vehicles,17543.08
Nevada,Passenger Vehicles,EV Sales,Buses,PHEV,2021,Charging Point,10561.12
Washington,Passenger Vehicles,EV Sales,Vans,PHEV,2023,Percent,44292.02
New York,Commercial Vehicles,EV Stock,Cars,PHEV,2022,Vehicles,20766.28
California,Commercial Vehicles,EV Stock,Vans,PHEV,2021,Charging Point,37642.91
New York,Commercial Vehicles,EV Stock,Cars,BEV,2022,Percent,28730.73
New York,Commercial Vehicles,EV Sales,Cars,PHEV,2019,Percent,37729.27
Illinois,Commercial Vehicles,EV Stock,Cars,BEV,2022,Charging Point,16113.41
Florida,Passenger Vehicles,EV Sales,Vans,BEV,2022,Charging Point,37625.24
Florida,Commercial Vehicles,EV Sales,Cars,PHEV,2024,Charging Point,39519.42
Colorado,Commercial Vehicles,EV Sales,Vans,BEV,2022,Percent,5303.58
Arizona,Passenger Vehicles,EV Sales,Cars,BEV,2022,Vehicles,4664.04
Florida,Commercial Vehicles,EV Stock,Cars,BEV,2020,Vehicles,49276.24
New York,Passenger Vehicles,EV Stock,Vans,BEV,2023,Percent,5985.9
Nevada,Commercial Vehicles,EV Sales,Vans,PHEV,2020,Charging Point,34273.56
New York,Passenger Vehicles,EV Stock,Bikes,PHEV,2019,Percent,37415.88
Nevada,Passenger Vehicles,EV Sales,Cars,BEV,2019,Percent,3269.19
Colorado,Passenger Vehicles,EV Stock,Bikes,BEV,2021,Percent,37350.9
Nevada,Passenger Vehicles,EV Sales,Cars,BEV,2019,Percent,21033.8
Florida,Passenger Vehicles,EV Sales,Bikes,BEV,2020,Vehicles,13806.23
Illinois,Commercial Vehicles,EV Sales,Bikes,PHEV,2019,Charging Point,33300
Nevada,Commercial Vehicles,EV Sales,Buses,BEV,2021,Percent,41672.91
New York,Passenger Vehicles,EV Sales,Vans,PHEV,2021,Percent,28682.45
Washington,Commercial Vehicles,EV Sales,Buses,BEV,2020,Charging Point,43544.32
Florida,Commercial Vehicles,EV Stock,Bikes,BEV,2024,Charging Point,1215.56
Washington,Passenger Vehicles,EV Stock,Buses,BEV,2019,Percent,36956.38
Georgia,Passenger Vehicles,EV Stock,Buses,PHEV,2023,Percent,8553.18
Georgia,Passenger Vehicles,EV Sales,Vans,PHEV,2021,Charging Point,14375.09
New York,Passenger Vehicles,EV Stock,Bikes,PHEV,2024,Charging Point,28655.39
Georgia,Commercial Vehicles,EV Stock,Cars,BEV,2024,Vehicles,13794.81
Arizona,Passenger Vehicles,EV Stock,Cars,PHEV,2019,Percent,8490.88
Colorado,Commercial Vehicles,EV Sales,Bikes,BEV,2019,Charging Point,44286.36
Florida,Passenger Vehicles,EV Stock,Vans,BEV,2023,Charging Point,45345.5
Washington,Commercial Vehicles,EV Stock,Buses,PHEV,2024,Vehicles,1914.93
New York,Commercial Vehicles,EV Stock,Vans,BEV,2020,Vehicles,25056.05
Arizona,Passenger Vehicles,EV Sales,Cars,PHEV,2020,Charging Point,10263.57
New York,Passenger Vehicles,EV Sales,Vans,BEV,2019,Percent,43184.1
Arizona,Commercial Vehicles,EV Sales,Buses,BEV,2022,Percent,23179.81
Georgia,Passenger Vehicles,EV Sales,Vans,BEV,2022,Percent,23975.04
Georgia,Commercial Vehicles,EV Sales,Cars,BEV,2018,Vehicles,31410.89
Nevada,Commercial Vehicles,EV Sales,Cars,BEV,2018,Charging Point,2875.64
Texas,Commercial Vehicles,EV Sales,Bikes,PHEV,2018,Charging Point,6452.17
New York,Commercial Vehicles,EV Stock,Bikes,BEV,2020,Vehicles,24969.42
Nevada,Commercial Vehicles,EV Sales,Bikes,BEV,2019,Percent,48338.68
Florida,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Charging Point,42195.92
Nevada,Commercial Vehicles,EV Sales,Buses,PHEV,2023,Percent,44479.12
California,Commercial Vehicles,EV Sales,Cars,BEV,2021,Charging Point,6944.04
Georgia,Commercial Vehicles,EV Sales,Cars,PHEV,2019,Vehicles,47935.33
California,Commercial Vehicles,EV Sales,Vans,BEV,2019,Vehicles,36526.63
New York,Commercial Vehicles,EV Sales,Bikes,PHEV,2018,Percent,16351.68
Washington,Commercial Vehicles,EV Sales,Vans,PHEV,2019,Vehicles,43236.91
Washington,Commercial Vehicles,EV Stock,Buses,BEV,2023,Charging Point,37390.76
Florida,Commercial Vehicles,EV Stock,Buses,PHEV,2018,Vehicles,36851.84
Nevada,Commercial Vehicles,EV Stock,Vans,BEV,2019,Percent,36757.56
Washington,Commercial Vehicles,EV Sales,Cars,BEV,2021,Vehicles,40062.6
Arizona,Commercial Vehicles,EV Stock,Vans,BEV,2022,Charging Point,47431.61
Arizona,Passenger Vehicles,EV Stock,Vans,PHEV,2022,Vehicles,6929.9
Florida,Commercial Vehicles,EV Stock,Cars,BEV,2020,Charging Point,49976.17
Colorado,Commercial Vehicles,EV Sales,Bikes,PHEV,2021,Percent,43629.75
Georgia,Passenger Vehicles,EV Sales,Bikes,BEV,2023,Charging Point,22137.2
Nevada,Commercial Vehicles,EV Sales,Bikes,PHEV,2019,Vehicles,7956.15
New York,Passenger Vehicles,EV Sales,Vans,PHEV,2021,Vehicles,22744.04
Illinois,Passenger Vehicles,EV Stock,Vans,PHEV,2019,Percent,38952.73
Illinois,Passenger Vehicles,EV Stock,Cars,PHEV,2021,Vehicles,30162.43
Illinois,Commercial Vehicles,EV Stock,Bikes,BEV,2021,Percent,14049.59
Washington,Commercial Vehicles,EV Sales,Cars,BEV,2022,Percent,20399.06
Colorado,Commercial Vehicles,EV Stock,Buses,BEV,2021,Charging Point,47719.51
Colorado,Commercial Vehicles,EV Sales,Buses,BEV,2020,Vehicles,40210.66
Nevada,Commercial Vehicles,EV Stock,Vans,PHEV,2019,Charging Point,6291.06
Nevada,Passenger Vehicles,EV Sales,Buses,BEV,2018,Percent,27315.06
Colorado,Passenger Vehicles,EV Sales,Cars,PHEV,2021,Percent,46556.15
Florida,Commercial Vehicles,EV Sales,Cars,PHEV,2018,Percent,1812.01
Nevada,Commercial Vehicles,EV Stock,Buses,BEV,2022,Charging Point,2223.11
Florida,Passenger Vehicles,EV Stock,Cars,BEV,2018,Charging Point,35864.96
California,Commercial Vehicles,EV Sales,Cars,BEV,2020,Percent,28819.73
Arizona,Passenger Vehicles,EV Stock,Vans,BEV,2020,Vehicles,2395.37
Georgia,Commercial Vehicles,EV Sales,Cars,BEV,2022,Vehicles,49801.22
Nevada,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Vehicles,29046.76
Colorado,Passenger Vehicles,EV Stock,Cars,BEV,2020,Percent,24647.29
Arizona,Commercial Vehicles,EV Stock,Vans,BEV,2019,Percent,22440.08
Arizona,Commercial Vehicles,EV Sales,Buses,BEV,2023,Vehicles,35064.13
Texas,Commercial Vehicles,EV Sales,Vans,PHEV,2020,Charging Point,22972.02
Colorado,Passenger Vehicles,EV Stock,Cars,BEV,2023,Vehicles,32987.93
Georgia,Passenger Vehicles,EV Sales,Bikes,PHEV,2021,Charging Point,24467.88
Colorado,Commercial Vehicles,EV Stock,Bikes,PHEV,2024,Vehicles,30574.82
Nevada,Commercial Vehicles,EV Stock,Vans,PHEV,2020,Percent,40278.79
New York,Commercial Vehicles,EV Sales,Vans,BEV,2023,Vehicles,40876.69
California,Passenger Vehicles,EV Sales,Vans,PHEV,2019,Charging Point,42467.51
Florida,Commercial Vehicles,EV Stock,Buses,PHEV,2022,Charging Point,10228.19
New York,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Vehicles,3149.88
California,Commercial Vehicles,EV Stock,Vans,BEV,2019,Percent,41823.31
New York,Commercial Vehicles,EV Sales,Bikes,PHEV,2021,Percent,2210.66
Florida,Passenger Vehicles,EV Sales,Buses,BEV,2024,Charging Point,10753.19
Washington,Commercial Vehicles,EV Stock,Bikes,PHEV,2018,Percent,26357.32
Colorado,Commercial Vehicles,EV Stock,Vans,PHEV,2018,Vehicles,42786.13
New York,Passenger Vehicles,EV Stock,Vans,BEV,2022,Charging Point,44849.39
Nevada,Passenger Vehicles,EV Sales,Cars,PHEV,2022,Charging Point,31439.73
Georgia,Passenger Vehicles,EV Sales,Buses,PHEV,2018,Vehicles,48341.26
Illinois,Commercial Vehicles,EV Stock,Vans,PHEV,2018,Vehicles,36524.15
Nevada,Passenger Vehicles,EV Sales,Cars,BEV,2022,Vehicles,26433.45
Florida,Passenger Vehicles,EV Sales,Vans,BEV,2018,Percent,6805.09
Georgia,Commercial Vehicles,EV Stock,Bikes,BEV,2020,Percent,21496.4
Nevada,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Percent,41134.81
Arizona,Passenger Vehicles,EV Sales,Buses,PHEV,2024,Vehicles,14254
Colorado,Passenger Vehicles,EV Sales,Bikes,PHEV,2024,Percent,28955.73
Georgia,Passenger Vehicles,EV Stock,Bikes,BEV,2019,Percent,49173.38
Arizona,Commercial Vehicles,EV Stock,Buses,BEV,2023,Vehicles,8803.75
Nevada,Passenger Vehicles,EV Sales,Buses,BEV,2022,Vehicles,5162.72
California,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,39800.27
