region,category,parameter,mode,powertrain,year,unit,value,total_vehicles_sold
Florida,Passenger Vehicles,EV Sales,Cars,BEV,2019,Percent,43752.34,3211
Washington,Passenger Vehicles,EV Sales,Cars,PHEV,2019,Charging Point,23862.89,24819
Illinois,Commercial Vehicles,EV Sales,Bikes,PHEV,2024,Percent,20116.2,48502
Georgia,Commercial Vehicles,EV Stock,Vans,BEV,2018,Charging Point,26609.12,108477
Colorado,Passenger Vehicles,EV Stock,Vans,BEV,2018,Percent,39530.26,132962
Georgia,Passenger Vehicles,EV Sales,Buses,PHEV,2018,Percent,11265.92,9926
Illinois,Commercial Vehicles,EV Stock,Buses,BEV,2018,Charging Point,15156.42,65430
California,Commercial Vehicles,EV Stock,Cars,PHEV,2023,Percent,42458.84,88110
Colorado,Commercial Vehicles,EV Stock,Bikes,PHEV,2018,Charging Point,45807.22,32155
Illinois,Passenger Vehicles,EV Stock,Buses,BEV,2023,Percent,6238.19,50679
Nevada,Commercial Vehicles,EV Stock,Buses,PHEV,2023,Charging Point,35276.26,1792
Florida,Passenger Vehicles,EV Stock,Buses,PHEV,2022,Vehicles,580.05,33464
Nevada,Commercial Vehicles,EV Stock,Cars,BEV,2024,Percent,12384.74,26087
Washington,Commercial Vehicles,EV Sales,Buses,BEV,2022,Percent,3524.53,3914
New York,Passenger Vehicles,EV Stock,Buses,BEV,2018,Percent,25818.03,84700
Illinois,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Vehicles,17234.85,26891
Texas,Commercial Vehicles,EV Stock,Cars,PHEV,2019,Percent,6965.62,4651
Texas,Commercial Vehicles,EV Sales,Vans,BEV,2021,Vehicles,116.01,8601
Arizona,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Vehicles,19480.52,28877
Georgia,Passenger Vehicles,EV Stock,Vans,BEV,2022,Vehicles,14794.14,76401
Georgia,Commercial Vehicles,EV Stock,Vans,PHEV,2018,Charging Point,2429.77,42377
Georgia,Commercial Vehicles,EV Stock,Vans,PHEV,2020,Charging Point,42603.27,18
Nevada,Passenger Vehicles,EV Stock,Vans,PHEV,2021,Percent,20597.82,52075
Florida,Passenger Vehicles,EV Sales,Buses,PHEV,2024,Vehicles,38761.74,131332
Illinois,Commercial Vehicles,EV Sales,Bikes,PHEV,2024,Percent,21159.9,2098
California,Passenger Vehicles,EV Stock,Buses,BEV,2023,Charging Point,3469.01,52708
Arizona,Commercial Vehicles,EV Sales,Buses,BEV,2024,Percent,19773.73,2839
Washington,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Vehicles,44318.01,29940
Colorado,Passenger Vehicles,EV Stock,Cars,BEV,2021,Vehicles,487.84,65626
Washington,Passenger Vehicles,EV Sales,Cars,BEV,2019,Vehicles,44775.64,85674
Illinois,Commercial Vehicles,EV Stock,Bikes,PHEV,2021,Vehicles,32870.72,129924
New York,Commercial Vehicles,EV Stock,Vans,PHEV,2022,Percent,49782.12,12826
Georgia,Commercial Vehicles,EV Sales,Vans,PHEV,2024,Vehicles,45814.27,53475
Colorado,Commercial Vehicles,EV Stock,Bikes,BEV,2018,Charging Point,43460.72,64835
Nevada,Commercial Vehicles,EV Stock,Buses,BEV,2018,Vehicles,1971.74,29586
Illinois,Passenger Vehicles,EV Sales,Vans,BEV,2023,Charging Point,14084.37,107209
New York,Passenger Vehicles,EV Stock,Bikes,PHEV,2021,Percent,18799.71,2083
Nevada,Passenger Vehicles,EV Sales,Buses,PHEV,2020,Percent,35021.15,63099
New York,Passenger Vehicles,EV Stock,Buses,PHEV,2022,Percent,32467.18,37710
Georgia,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Percent,8667.62,4104
Nevada,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Charging Point,36868.1,110759
Florida,Passenger Vehicles,EV Stock,Bikes,BEV,2022,Charging Point,7865.84,43957
Texas,Commercial Vehicles,EV Stock,Cars,BEV,2020,Vehicles,22876.02,7398
Washington,Commercial Vehicles,EV Stock,Bikes,BEV,2023,Vehicles,28979.1,8083
Florida,Commercial Vehicles,EV Sales,Vans,PHEV,2024,Percent,43547.05,51355
Colorado,Passenger Vehicles,EV Sales,Buses,PHEV,2022,Percent,31602.97,74444
Arizona,Commercial Vehicles,EV Stock,Buses,BEV,2023,Charging Point,47746.7,43718
Texas,Commercial Vehicles,EV Stock,Cars,BEV,2022,Charging Point,49725.23,99568
Florida,Passenger Vehicles,EV Sales,Buses,PHEV,2022,Percent,25490.24,168326
Illinois,Commercial Vehicles,EV Sales,Cars,BEV,2024,Percent,2668.84,2490
New York,Passenger Vehicles,EV Sales,Vans,PHEV,2023,Charging Point,1513.11,41128
Colorado,Commercial Vehicles,EV Sales,Bikes,BEV,2018,Charging Point,42796.84,2889
Illinois,Commercial Vehicles,EV Stock,Vans,BEV,2024,Charging Point,25042.52,46549
Texas,Commercial Vehicles,EV Stock,Buses,BEV,2020,Percent,18403,141368
New York,Commercial Vehicles,EV Sales,Vans,BEV,2023,Charging Point,14294.36,111203
Colorado,Passenger Vehicles,EV Stock,Vans,PHEV,2018,Charging Point,14161.3,225370
Arizona,Commercial Vehicles,EV Sales,Buses,PHEV,2019,Vehicles,3733.71,20977
Texas,Passenger Vehicles,EV Stock,Buses,PHEV,2021,Charging Point,15219.34,79819
Colorado,Commercial Vehicles,EV Stock,Cars,BEV,2023,Vehicles,32275.83,42446
Florida,Commercial Vehicles,EV Sales,Bikes,PHEV,2018,Vehicles,19321.98,28392
Colorado,Passenger Vehicles,EV Sales,Vans,BEV,2023,Percent,47396.11,63454
Texas,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Percent,33441.7,1252
Georgia,Passenger Vehicles,EV Stock,Buses,BEV,2023,Percent,43212.44,24772
Florida,Commercial Vehicles,EV Sales,Bikes,PHEV,2024,Percent,5796.6,1100
Illinois,Commercial Vehicles,EV Sales,Vans,PHEV,2022,Charging Point,22580.74,18687
Texas,Commercial Vehicles,EV Stock,Cars,BEV,2019,Charging Point,2167.79,3468
Georgia,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Charging Point,44761.17,92992
California,Commercial Vehicles,EV Stock,Buses,BEV,2020,Vehicles,7428.74,40694
Arizona,Commercial Vehicles,EV Stock,Vans,BEV,2023,Percent,40290.53,6044
Georgia,Passenger Vehicles,EV Sales,Cars,BEV,2018,Charging Point,46198.17,4076
California,Passenger Vehicles,EV Stock,Vans,PHEV,2024,Charging Point,22150.23,26077
Washington,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Percent,19529.11,83147
New York,Passenger Vehicles,EV Stock,Buses,PHEV,2022,Vehicles,30045.87,43996
Georgia,Passenger Vehicles,EV Sales,Bikes,PHEV,2022,Vehicles,37042.47,110877
Nevada,Passenger Vehicles,EV Stock,Vans,PHEV,2023,Percent,32315.93,134502
Arizona,Commercial Vehicles,EV Stock,Cars,BEV,2020,Percent,157.62,3649
Georgia,Commercial Vehicles,EV Stock,Buses,PHEV,2022,Charging Point,39318.17,26693
California,Commercial Vehicles,EV Sales,Vans,PHEV,2021,Vehicles,7454.66,2589
Nevada,Passenger Vehicles,EV Stock,Vans,PHEV,2018,Percent,22538.85,35287
Arizona,Commercial Vehicles,EV Stock,Cars,BEV,2018,Vehicles,14189.6,61061
Nevada,Commercial Vehicles,EV Stock,Buses,BEV,2022,Vehicles,46402.58,83485
Florida,Commercial Vehicles,EV Sales,Bikes,BEV,2020,Charging Point,25155.2,268713
California,Commercial Vehicles,EV Sales,Vans,BEV,2024,Charging Point,26155.81,12632
Colorado,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Percent,3899.73,73989
Florida,Passenger Vehicles,EV Stock,Bikes,BEV,2021,Vehicles,44878.31,59712
Arizona,Passenger Vehicles,EV Stock,Buses,PHEV,2021,Charging Point,12027.47,26097
Arizona,Passenger Vehicles,EV Stock,Buses,PHEV,2023,Charging Point,20756.48,51380
Texas,Commercial Vehicles,EV Sales,Vans,PHEV,2024,Vehicles,49266.2,1291
California,Commercial Vehicles,EV Sales,Vans,BEV,2021,Vehicles,5783.37,31989
Washington,Passenger Vehicles,EV Stock,Cars,PHEV,2019,Vehicles,35954.54,758
Washington,Commercial Vehicles,EV Stock,Cars,BEV,2022,Vehicles,13080.71,24615
Arizona,Passenger Vehicles,EV Stock,Buses,BEV,2021,Charging Point,21047.53,3015
Washington,Commercial Vehicles,EV Sales,Vans,BEV,2024,Charging Point,20967.83,58107
New York,Commercial Vehicles,EV Sales,Buses,BEV,2022,Percent,46618.43,28339
Texas,Passenger Vehicles,EV Sales,Vans,BEV,2020,Vehicles,617.08,3490
Arizona,Commercial Vehicles,EV Stock,Bikes,BEV,2020,Percent,18423.48,3561
Washington,Passenger Vehicles,EV Stock,Vans,BEV,2023,Charging Point,42635.93,24613
California,Passenger Vehicles,EV Stock,Buses,PHEV,2020,Vehicles,45534.56,74134
Georgia,Commercial Vehicles,EV Sales,Cars,BEV,2019,Percent,15635.1,45699
Colorado,Passenger Vehicles,EV Sales,Vans,PHEV,2020,Percent,12173.54,20
Florida,Passenger Vehicles,EV Sales,Buses,BEV,2022,Percent,23117.35,75043
Florida,Commercial Vehicles,EV Stock,Bikes,PHEV,2018,Charging Point,37317.39,136937
New York,Passenger Vehicles,EV Sales,Cars,PHEV,2018,Charging Point,7786.52,3660
Nevada,Commercial Vehicles,EV Stock,Cars,PHEV,2022,Percent,39244.89,45749
California,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Charging Point,25682.35,4044
Nevada,Passenger Vehicles,EV Sales,Vans,BEV,2021,Charging Point,7126.2,28295
Texas,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Percent,33620.79,50153
Colorado,Commercial Vehicles,EV Stock,Buses,BEV,2024,Percent,31447.22,124399
Texas,Passenger Vehicles,EV Stock,Bikes,BEV,2019,Vehicles,31155.9,3043
Arizona,Commercial Vehicles,EV Sales,Cars,BEV,2020,Percent,37763.85,168934
California,Passenger Vehicles,EV Sales,Vans,PHEV,2018,Vehicles,9143.02,10413
Arizona,Passenger Vehicles,EV Stock,Buses,BEV,2018,Vehicles,34905.12,61071
Illinois,Commercial Vehicles,EV Sales,Vans,PHEV,2024,Percent,44375.99,52013
Washington,Commercial Vehicles,EV Stock,Bikes,BEV,2023,Charging Point,26562.53,25414
Florida,Commercial Vehicles,EV Sales,Bikes,PHEV,2019,Vehicles,24352.88,59758
Georgia,Passenger Vehicles,EV Stock,Buses,BEV,2023,Vehicles,39909.63,1184
Arizona,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,7397.18,28508
Nevada,Passenger Vehicles,EV Stock,Vans,PHEV,2018,Charging Point,17109.61,817
Illinois,Commercial Vehicles,EV Stock,Bikes,BEV,2021,Charging Point,42703.83,25413
Florida,Passenger Vehicles,EV Sales,Vans,BEV,2018,Vehicles,25038.74,3248
Arizona,Passenger Vehicles,EV Stock,Bikes,PHEV,2021,Charging Point,42037.76,68658
Illinois,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Vehicles,12668.22,25667
Illinois,Commercial Vehicles,EV Stock,Vans,PHEV,2024,Vehicles,19539.77,4041
California,Commercial Vehicles,EV Sales,Buses,PHEV,2020,Charging Point,41198.57,4836
Texas,Commercial Vehicles,EV Sales,Cars,PHEV,2022,Percent,8258.42,27174
Illinois,Commercial Vehicles,EV Stock,Cars,PHEV,2020,Vehicles,44749.41,75612
New York,Passenger Vehicles,EV Sales,Bikes,BEV,2018,Vehicles,15562.18,41273
Texas,Commercial Vehicles,EV Stock,Vans,BEV,2018,Vehicles,48637.57,69322
Florida,Passenger Vehicles,EV Stock,Bikes,PHEV,2021,Vehicles,41403.6,116043
Florida,Commercial Vehicles,EV Sales,Buses,BEV,2019,Vehicles,22833.7,4773
Florida,Commercial Vehicles,EV Stock,Bikes,PHEV,2023,Charging Point,37138.01,41856
Florida,Commercial Vehicles,EV Stock,Cars,BEV,2023,Charging Point,27807.59,3410
New York,Commercial Vehicles,EV Stock,Buses,PHEV,2023,Vehicles,42677.05,24506
Arizona,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Charging Point,25953.63,56168
Colorado,Passenger Vehicles,EV Stock,Buses,BEV,2019,Percent,49400.96,108851
Illinois,Commercial Vehicles,EV Stock,Buses,BEV,2019,Percent,6762,2705
Florida,Commercial Vehicles,EV Sales,Cars,BEV,2024,Charging Point,33855.81,163699
Texas,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Charging Point,12358.11,9283
Texas,Commercial Vehicles,EV Sales,Cars,BEV,2019,Vehicles,9642.26,56937
Illinois,Commercial Vehicles,EV Sales,Vans,PHEV,2018,Vehicles,20471.71,51588
Arizona,Passenger Vehicles,EV Stock,Buses,BEV,2022,Percent,18436.33,29698
Georgia,Passenger Vehicles,EV Sales,Vans,BEV,2023,Charging Point,2412.13,85165
Georgia,Passenger Vehicles,EV Sales,Cars,BEV,2022,Charging Point,21443.41,1883
Colorado,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Percent,47600.72,31244
Arizona,Commercial Vehicles,EV Sales,Bikes,PHEV,2020,Percent,23397.11,757
Illinois,Commercial Vehicles,EV Sales,Buses,BEV,2020,Charging Point,15160.58,28871
Georgia,Passenger Vehicles,EV Sales,Bikes,PHEV,2021,Percent,47458.89,4381
Georgia,Passenger Vehicles,EV Sales,Buses,PHEV,2020,Charging Point,25335.55,79333
Georgia,Commercial Vehicles,EV Sales,Cars,BEV,2023,Percent,14426.41,30295
Nevada,Passenger Vehicles,EV Sales,Vans,BEV,2024,Percent,39171.18,3565
New York,Commercial Vehicles,EV Stock,Buses,BEV,2020,Percent,11258.31,5680
Illinois,Passenger Vehicles,EV Stock,Buses,BEV,2020,Vehicles,12462.68,38435
Washington,Commercial Vehicles,EV Sales,Vans,PHEV,2024,Vehicles,16284.17,91537
California,Commercial Vehicles,EV Sales,Cars,BEV,2018,Vehicles,19798.94,50610
California,Commercial Vehicles,EV Stock,Cars,PHEV,2020,Percent,29185.66,76256
Arizona,Passenger Vehicles,EV Stock,Cars,BEV,2024,Vehicles,25812.7,130070
Illinois,Commercial Vehicles,EV Stock,Bikes,BEV,2022,Percent,37212.17,3508
Illinois,Commercial Vehicles,EV Sales,Cars,BEV,2018,Vehicles,35886.83,47801
California,Commercial Vehicles,EV Stock,Vans,BEV,2019,Charging Point,2373.45,3913
Colorado,Commercial Vehicles,EV Stock,Bikes,BEV,2021,Percent,6781.83,31497
California,Passenger Vehicles,EV Sales,Cars,BEV,2018,Vehicles,10838.08,60106
Illinois,Commercial Vehicles,EV Sales,Buses,PHEV,2018,Vehicles,29923.42,124272
Georgia,Passenger Vehicles,EV Sales,Buses,PHEV,2022,Percent,44773.69,3504
Colorado,Commercial Vehicles,EV Sales,Buses,PHEV,2024,Percent,16312.84,180927
Florida,Passenger Vehicles,EV Sales,Vans,PHEV,2023,Percent,48190.83,11692
Washington,Passenger Vehicles,EV Sales,Vans,PHEV,2023,Percent,8725.74,73783
Nevada,Commercial Vehicles,EV Stock,Buses,PHEV,2020,Percent,46244.14,56529
New York,Commercial Vehicles,EV Stock,Bikes,PHEV,2019,Percent,40070.01,26813
Florida,Commercial Vehicles,EV Stock,Cars,BEV,2024,Percent,19512.77,82418
Texas,Commercial Vehicles,EV Sales,Cars,PHEV,2022,Charging Point,10394.98,1881
California,Passenger Vehicles,EV Stock,Cars,BEV,2024,Vehicles,19625.51,30843
Washington,Passenger Vehicles,EV Sales,Cars,PHEV,2024,Charging Point,10765.56,804
California,Passenger Vehicles,EV Stock,Buses,PHEV,2022,Percent,28101.47,32226
California,Commercial Vehicles,EV Stock,Cars,BEV,2018,Charging Point,28783.46,3817
Florida,Commercial Vehicles,EV Sales,Vans,BEV,2019,Percent,38432.65,88648
Georgia,Passenger Vehicles,EV Stock,Cars,BEV,2024,Vehicles,26440.47,30558
Georgia,Passenger Vehicles,EV Sales,Bikes,BEV,2022,Vehicles,17322.8,4637
Nevada,Commercial Vehicles,EV Sales,Cars,BEV,2023,Vehicles,45588.79,8306
Colorado,Passenger Vehicles,EV Stock,Bikes,PHEV,2021,Charging Point,3992.13,35590
California,Passenger Vehicles,EV Stock,Buses,BEV,2024,Vehicles,40458.21,100400
Arizona,Passenger Vehicles,EV Sales,Bikes,BEV,2021,Percent,20537.77,41859
Georgia,Commercial Vehicles,EV Sales,Cars,BEV,2022,Vehicles,9136.86,75144
Illinois,Passenger Vehicles,EV Sales,Bikes,PHEV,2018,Charging Point,6105.75,135969
Washington,Passenger Vehicles,EV Stock,Buses,BEV,2024,Vehicles,11116.14,1472
Arizona,Commercial Vehicles,EV Stock,Buses,BEV,2021,Vehicles,6185.6,444
Florida,Passenger Vehicles,EV Sales,Cars,BEV,2018,Charging Point,23000.64,44330
Florida,Commercial Vehicles,EV Stock,Buses,PHEV,2020,Charging Point,17549.51,3044
Nevada,Passenger Vehicles,EV Stock,Bikes,BEV,2020,Charging Point,17893.79,29934
Nevada,Passenger Vehicles,EV Sales,Vans,PHEV,2024,Percent,7927.73,70039
Colorado,Passenger Vehicles,EV Stock,Buses,PHEV,2018,Vehicles,33021.15,106643
Illinois,Commercial Vehicles,EV Stock,Bikes,BEV,2022,Percent,30429.08,2797
Washington,Passenger Vehicles,EV Sales,Buses,PHEV,2020,Percent,49116.09,225079
Illinois,Commercial Vehicles,EV Sales,Cars,PHEV,2023,Charging Point,8465.45,12989
Texas,Passenger Vehicles,EV Stock,Cars,PHEV,2024,Percent,41717.37,68909
Nevada,Commercial Vehicles,EV Sales,Buses,PHEV,2024,Vehicles,1790.19,48041
Colorado,Commercial Vehicles,EV Stock,Vans,PHEV,2020,Charging Point,3758.62,28739
New York,Passenger Vehicles,EV Sales,Vans,PHEV,2023,Percent,32437.78,113034
California,Commercial Vehicles,EV Sales,Bikes,BEV,2021,Vehicles,20382.84,1797
California,Commercial Vehicles,EV Sales,Bikes,PHEV,2022,Vehicles,11602,28821
New York,Commercial Vehicles,EV Sales,Buses,PHEV,2018,Vehicles,237.55,790
Georgia,Commercial Vehicles,EV Stock,Bikes,BEV,2020,Percent,33190.98,28897
Illinois,Commercial Vehicles,EV Stock,Buses,PHEV,2024,Charging Point,22098.34,3338
New York,Passenger Vehicles,EV Stock,Buses,BEV,2022,Charging Point,8622.28,68621
Colorado,Passenger Vehicles,EV Stock,Buses,BEV,2020,Vehicles,48613.98,32009
Washington,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Charging Point,17607,5131
New York,Commercial Vehicles,EV Sales,Buses,PHEV,2022,Charging Point,15222.68,9505
Colorado,Passenger Vehicles,EV Stock,Buses,PHEV,2019,Charging Point,25564.68,39317
Nevada,Passenger Vehicles,EV Sales,Vans,BEV,2024,Charging Point,13932.62,84301
Arizona,Commercial Vehicles,EV Sales,Bikes,PHEV,2021,Percent,13710.83,40514
Florida,Commercial Vehicles,EV Stock,Buses,BEV,2018,Charging Point,48317.7,94602
Florida,Passenger Vehicles,EV Stock,Buses,PHEV,2022,Charging Point,13131.27,123203
Texas,Commercial Vehicles,EV Stock,Buses,PHEV,2023,Percent,30312.79,2443
Illinois,Passenger Vehicles,EV Sales,Buses,PHEV,2020,Charging Point,1968.59,38324
Washington,Passenger Vehicles,EV Stock,Buses,BEV,2023,Charging Point,7802.03,3122
Arizona,Passenger Vehicles,EV Stock,Vans,BEV,2022,Charging Point,1201.8,30377
Arizona,Passenger Vehicles,EV Stock,Cars,PHEV,2018,Vehicles,26770.39,73803
Nevada,Commercial Vehicles,EV Stock,Cars,BEV,2023,Percent,24631.17,102565
New York,Commercial Vehicles,EV Sales,Vans,PHEV,2023,Charging Point,16613.03,2768
Illinois,Commercial Vehicles,EV Sales,Buses,BEV,2023,Percent,35044.04,273962
California,Commercial Vehicles,EV Sales,Vans,BEV,2024,Percent,31327.15,12930
Arizona,Passenger Vehicles,EV Sales,Buses,PHEV,2022,Charging Point,30057.05,68721
Colorado,Commercial Vehicles,EV Stock,Bikes,PHEV,2020,Percent,16879.28,37538
California,Commercial Vehicles,EV Stock,Cars,BEV,2024,Vehicles,16424.57,21695
Texas,Passenger Vehicles,EV Sales,Cars,BEV,2023,Percent,43685.07,79768
New York,Passenger Vehicles,EV Sales,Bikes,BEV,2021,Charging Point,27243.84,1808
New York,Passenger Vehicles,EV Sales,Bikes,PHEV,2021,Charging Point,13684.49,28027
Washington,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Vehicles,27206.71,27696
Arizona,Commercial Vehicles,EV Stock,Bikes,BEV,2024,Charging Point,13411.86,3042
Nevada,Passenger Vehicles,EV Stock,Bikes,PHEV,2019,Vehicles,9346.42,83549
Georgia,Passenger Vehicles,EV Sales,Buses,BEV,2019,Percent,14180.6,30435
Georgia,Commercial Vehicles,EV Stock,Bikes,PHEV,2021,Percent,31481.74,5610
Florida,Commercial Vehicles,EV Sales,Buses,PHEV,2023,Percent,25840.32,8064
Colorado,Passenger Vehicles,EV Stock,Bikes,BEV,2018,Charging Point,8308.57,32650
California,Commercial Vehicles,EV Stock,Vans,PHEV,2022,Charging Point,45404.85,91707
Texas,Commercial Vehicles,EV Sales,Buses,BEV,2024,Vehicles,24964.98,44015
Florida,Passenger Vehicles,EV Stock,Buses,PHEV,2020,Percent,39706.89,590
New York,Commercial Vehicles,EV Sales,Cars,BEV,2018,Vehicles,16601.35,83413
California,Commercial Vehicles,EV Sales,Bikes,PHEV,2024,Vehicles,47882.21,115725
Illinois,Passenger Vehicles,EV Sales,Buses,PHEV,2023,Charging Point,37629.45,3391
Arizona,Commercial Vehicles,EV Stock,Vans,PHEV,2022,Percent,22779.89,1291
Texas,Passenger Vehicles,EV Stock,Vans,BEV,2024,Vehicles,45124.41,1750
Illinois,Commercial Vehicles,EV Sales,Cars,BEV,2021,Percent,35901.58,39143
Nevada,Passenger Vehicles,EV Stock,Bikes,PHEV,2024,Charging Point,21583.36,3331
Arizona,Passenger Vehicles,EV Sales,Buses,PHEV,2020,Percent,48709.47,28256
California,Commercial Vehicles,EV Stock,Cars,BEV,2018,Vehicles,14997.31,58281
Arizona,Commercial Vehicles,EV Sales,Bikes,BEV,2022,Vehicles,12902.88,110740
Florida,Passenger Vehicles,EV Sales,Bikes,PHEV,2021,Percent,44743.34,2761
Washington,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Percent,35397.85,198411
Florida,Passenger Vehicles,EV Sales,Vans,BEV,2022,Percent,17340.94,13121
Nevada,Commercial Vehicles,EV Stock,Cars,BEV,2019,Vehicles,11666.94,67878
Colorado,Commercial Vehicles,EV Sales,Cars,BEV,2024,Vehicles,8984.11,42632
Illinois,Commercial Vehicles,EV Sales,Vans,PHEV,2024,Vehicles,15743.47,26803
Florida,Commercial Vehicles,EV Sales,Cars,PHEV,2019,Percent,6364.45,62773
Washington,Passenger Vehicles,EV Stock,Cars,BEV,2022,Vehicles,7352.87,2086
Colorado,Passenger Vehicles,EV Sales,Buses,BEV,2022,Percent,38853.55,26466
Florida,Commercial Vehicles,EV Sales,Buses,PHEV,2022,Vehicles,3281.63,735
New York,Commercial Vehicles,EV Sales,Buses,PHEV,2021,Vehicles,22020.49,30654
Washington,Passenger Vehicles,EV Stock,Buses,PHEV,2023,Percent,20309.44,2801
Illinois,Commercial Vehicles,EV Stock,Vans,PHEV,2024,Charging Point,48013.53,83341
Texas,Passenger Vehicles,EV Stock,Vans,BEV,2023,Vehicles,23330.53,30657
Georgia,Commercial Vehicles,EV Stock,Buses,PHEV,2024,Charging Point,8126.68,5377
Colorado,Passenger Vehicles,EV Sales,Cars,PHEV,2020,Vehicles,4511.39,8717
New York,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Vehicles,36648.69,32122
Texas,Commercial Vehicles,EV Stock,Cars,BEV,2024,Vehicles,7472.05,77333
California,Passenger Vehicles,EV Stock,Buses,BEV,2021,Percent,46905.36,37691
Washington,Commercial Vehicles,EV Stock,Bikes,BEV,2019,Vehicles,28004.75,81579
New York,Commercial Vehicles,EV Stock,Bikes,PHEV,2022,Charging Point,20144.66,111895
Arizona,Commercial Vehicles,EV Sales,Bikes,PHEV,2021,Vehicles,34248.2,4103
California,Commercial Vehicles,EV Sales,Cars,PHEV,2021,Vehicles,10026.51,1363
California,Passenger Vehicles,EV Sales,Vans,PHEV,2022,Vehicles,19174.65,32549
Colorado,Passenger Vehicles,EV Sales,Buses,BEV,2023,Percent,1767.35,3298
Washington,Passenger Vehicles,EV Sales,Buses,PHEV,2020,Percent,43896.14,27082
New York,Passenger Vehicles,EV Stock,Cars,BEV,2019,Charging Point,21320.33,63752
Nevada,Commercial Vehicles,EV Sales,Bikes,PHEV,2018,Percent,37965.38,103800
New York,Commercial Vehicles,EV Stock,Bikes,PHEV,2023,Vehicles,45851.05,2632
Florida,Passenger Vehicles,EV Stock,Bikes,PHEV,2021,Percent,32674.38,153826
California,Commercial Vehicles,EV Stock,Buses,PHEV,2020,Percent,18849.76,12603
Illinois,Passenger Vehicles,EV Stock,Cars,PHEV,2018,Vehicles,31014.47,62610
California,Commercial Vehicles,EV Sales,Bikes,PHEV,2024,Vehicles,18080.52,54365
California,Passenger Vehicles,EV Stock,Buses,BEV,2023,Percent,28408.97,27466
Georgia,Passenger Vehicles,EV Stock,Cars,BEV,2024,Vehicles,21665.05,64565
Arizona,Passenger Vehicles,EV Stock,Cars,BEV,2023,Percent,7578.43,1896
Nevada,Commercial Vehicles,EV Stock,Cars,BEV,2022,Percent,39027.05,23146
Texas,Passenger Vehicles,EV Stock,Cars,BEV,2018,Vehicles,24871.31,742
Texas,Passenger Vehicles,EV Sales,Cars,PHEV,2022,Charging Point,9588.12,31869
Arizona,Passenger Vehicles,EV Stock,Vans,PHEV,2024,Percent,44602.3,4503
California,Passenger Vehicles,EV Sales,Vans,BEV,2023,Charging Point,42675.61,74982
Texas,Passenger Vehicles,EV Sales,Cars,PHEV,2023,Charging Point,27985.42,33336
Washington,Commercial Vehicles,EV Stock,Vans,PHEV,2023,Percent,48518.9,5281
Nevada,Commercial Vehicles,EV Sales,Cars,PHEV,2020,Percent,46365.8,9131
Texas,Passenger Vehicles,EV Sales,Bikes,PHEV,2023,Vehicles,44860.59,25332
Arizona,Commercial Vehicles,EV Sales,Cars,BEV,2018,Vehicles,6751.26,88611
Florida,Commercial Vehicles,EV Sales,Vans,PHEV,2019,Charging Point,14802.02,50954
Texas,Passenger Vehicles,EV Stock,Vans,BEV,2020,Charging Point,20568.49,98165
Nevada,Passenger Vehicles,EV Sales,Bikes,BEV,2018,Percent,41612.27,118886
Colorado,Passenger Vehicles,EV Sales,Cars,PHEV,2021,Percent,43574.66,3647
Colorado,Passenger Vehicles,EV Sales,Vans,PHEV,2018,Vehicles,37599.11,1734
Washington,Passenger Vehicles,EV Sales,Buses,PHEV,2024,Percent,23672.72,2062
New York,Passenger Vehicles,EV Sales,Vans,BEV,2018,Percent,8178.87,30540
New York,Passenger Vehicles,EV Stock,Cars,PHEV,2019,Charging Point,1856.29,3810
Texas,Passenger Vehicles,EV Sales,Buses,BEV,2020,Percent,34995.19,32591
Illinois,Commercial Vehicles,EV Stock,Vans,PHEV,2021,Charging Point,49708.29,60191
Florida,Passenger Vehicles,EV Stock,Vans,BEV,2023,Charging Point,17339.06,120312
Arizona,Commercial Vehicles,EV Stock,Vans,BEV,2020,Vehicles,28479.72,2643
Florida,Passenger Vehicles,EV Sales,Vans,BEV,2020,Vehicles,40548.04,131703
Colorado,Commercial Vehicles,EV Stock,Vans,BEV,2021,Charging Point,9405.43,12711
Texas,Commercial Vehicles,EV Sales,Cars,BEV,2024,Percent,41494.89,62200
Nevada,Passenger Vehicles,EV Sales,Vans,BEV,2021,Percent,31304.62,52804
Arizona,Passenger Vehicles,EV Sales,Bikes,BEV,2019,Percent,28535.43,31729
